Pr,R,Nu,τx
0.0017258199921025407,6349.219563804657,1.0000000000001028,0
0.004728405457216333,6349.219563804657,1.0000000000009988,0
0.012954895800340697,6349.219563804657,1.0000000000020839,0
8.39146625988425e-5,33395.90561625883,1.000000000000008,0
0.00022990957943964967,33395.90561625883,1.000000000000182,0
0.0006299067776844721,33395.90561625883,1.0000000000001026,0
0.0017258199921025407,33395.90561625883,1.000000000002039,0
0.004728405457216333,33395.90561625883,1.000000000001239,0
0.012954895800340697,33395.90561625883,1.0000000000021443,0
0.03549385236021788,33395.90561625883,1.0000000000743225,0
8.39146625988425e-5,1207.1117200000006,1.0000000000000036,0
0.00022990957943964967,175657.26003366476,1.0000000000020846,0
0.0006299067776844721,175657.26003366476,1.0000000000053122,0
0.0017258199921025407,175657.26003366476,1.0000000000092495,0
0.004728405457216333,175657.26003366476,1.0000000000363227,0
0.012954895800340697,175657.26003366476,1.00000000016216,0
0.03549385236021788,175657.26003366476,1.000000003111305,0
0.09724613573007755,175657.26003366476,1.000000380811247,0
0.0006299067776844721,923929.818136523,1.000000000035221,0
0.0017258199921025407,923929.818136523,1.000000000357854,0
0.004728405457216333,923929.818136523,1.0000000030314997,0
0.00022990957943964967,1207.1117200000006,1.0000000000000022,0
0.012954895800340697,923929.818136523,1.0000001701836345,0
0.03549385236021788,923929.818136523,1.000088906593829,0
0.09724613573007755,923929.818136523,5.1734908232778825,0
0.2664351792095699,923929.818136523,8.905789261985724,0
0.0017258199921025407,4.859726883353339e6,1.000000025068542,0
0.004728405457216333,4.859726883353339e6,1.0000038884259392,0
0.012954895800340697,4.859726883353339e6,1.183255184623245,0
0.03549385236021788,4.859726883353339e6,9.312448086601197,0
0.09724613573007755,4.859726883353339e6,13.846182577145846,0
0.2664351792095699,4.859726883353339e6,13.959676530109514,0
0.0006299067776844721,1207.1117200000006,1.0000000000000284,0
0.7299796972650259,4.859726883353339e6,19.01488401500423,0
0.004728405457216333,2.556140619903392e7,10.97102986535168,0
0.012954895800340697,2.556140619903392e7,13.42146709630018,0
0.03549385236021788,2.556140619903392e7,20.33200849161423,0
0.09724613573007755,2.556140619903392e7,23.983401935523137,0
0.2664351792095699,2.556140619903392e7,23.797307690093305,0
0.7299796972650259,2.556140619903392e7,25.23410649070835,0
0.012954895800340697,1.344490138139526e8,29.569282250850033,0
0.03549385236021788,1.344490138139526e8,34.67865476640243,0
0.09724613573007755,1.344490138139526e8,41.12506974560911,0
0.0017258199921025407,1207.1117200000006,1.000000000000043,0
0.2664351792095699,1.344490138139526e8,42.388276740148775,0
0.7299796972650259,1.344490138139526e8,42.18221346775434,0
0.03549385236021788,7.071808637909558e8,47.018996644994196,0
0.09724613573007755,7.071808637909558e8,39.9216529436229,0
0.2664351792095699,7.071808637909558e8,52.81823273802876,0
0.7299796972650259,7.071808637909558e8,56.95312424383727,0
0.2664351792095699,3.7196611557460723e9,52.27240978044864,0
0.7299796972650259,3.7196611557460723e9,63.899928718534994,0
0.004728405457216333,1207.1117200000006,1.000000000000033,0
3.062799999999998e-5,6349.219563804657,1.0000000000000047,0
8.39146625988425e-5,6349.219563804657,1.0000000000000044,0
0.00022990957943964967,6349.219563804657,1.0000000000000122,0
0.0006299067776844721,6349.219563804657,1.000000000000019,0
